frame,ear,yaw,pitch,gazeAway,mar,state
1,0.522138,0,0,0,0,ATTENTIVE
2,1.22704,0,0,1,0,ATTENTIVE
3,1.18045,0,0,1,0,ATTENTIVE
4,1.18043,0,0,1,0,ATTENTIVE
5,1.18189,0,0,1,0,ATTENTIVE
6,1.18339,0,0,1,0,ATTENTIVE
7,1.18686,0,0,1,0,ATTENTIVE
8,1.19128,0,0,1,0,ATTENTIVE
9,0.533071,0,0,0,0,ATTENTIVE
10,1.32076,0,0,1,0,ATTENTIVE
11,1.35292,0,0,1,0,ATTENTIVE
12,1.36409,0,0,1,0,ATTENTIVE
13,1.34484,0,0,1,0,ATTENTIVE
14,1.34384,0,0,1,0,ATTENTIVE
15,1.34117,0,0,1,0,ATTENTIVE
16,1.35448,0,0,1,0,ATTENTIVE
17,0.529123,0,0,0,0,ATTENTIVE
18,1.33201,0,0,0,0,ATTENTIVE
19,1.32353,0,0,0,0,ATTENTIVE
20,1.32443,0,0,0,0,ATTENTIVE
21,1.32192,0,0,0,0,ATTENTIVE
22,1.31175,0,0,0,0,ATTENTIVE
23,1.30342,0,0,0,0,ATTENTIVE
24,1.29985,0,0,0,0,ATTENTIVE
25,0.530956,0,0,0,0,ATTENTIVE
26,1.3542,0,0,0,0,ATTENTIVE
27,1.35755,0,0,1,0,ATTENTIVE
28,0.726202,0,0,1,0,ATTENTIVE
29,0.727225,0,0,1,0,ATTENTIVE
30,0.725369,0,0,1,0,ATTENTIVE
31,0.732051,0,0,1,0,ATTENTIVE
32,0.732502,0,0,1,0,ATTENTIVE
33,0.584637,0,0,0,0,ATTENTIVE
34,0.728304,0,0,1,0,ATTENTIVE
35,0.728263,0,0,1,0,ATTENTIVE
36,0.731014,0,0,0,0,ATTENTIVE
37,0.729025,0,0,1,0,ATTENTIVE
38,0.192437,0,0,0,0,ATTENTIVE
39,0.192475,0,0,0,0,ATTENTIVE
40,0.193848,0,0,0,0,ATTENTIVE
41,0.598801,0,0,0,0,ATTENTIVE
42,0.615351,0,0,0,0,ATTENTIVE
43,3.05939,0,0,1,0,ATTENTIVE
44,3.03407,0,0,0,0,ATTENTIVE
45,3.05054,0,0,0,0,ATTENTIVE
46,3.07908,0,0,0,0,ATTENTIVE
47,3.09511,0,0,1,0,ATTENTIVE
48,4.67733,0,0,0,0,ATTENTIVE
49,0.536351,0,0,0,0,ATTENTIVE
50,1.29926,0,0,0,0,ATTENTIVE
51,0.628565,0,0,0,0,ATTENTIVE
52,0.628956,0,0,0,0,ATTENTIVE
53,0.616135,0,0,1,0,ATTENTIVE
54,0.593605,0,0,1,0,ATTENTIVE
55,0.584625,0,0,0,0,ATTENTIVE
56,0.583794,0,0,0,0,ATTENTIVE
57,0.63299,0,0,0,0,ATTENTIVE
58,3.99707,0,0,0,0,ATTENTIVE
59,3.93875,0,0,0,0,ATTENTIVE
60,3.92012,0,0,0,0,ATTENTIVE
61,3.92949,0,0,0,0,ATTENTIVE
62,3.91629,0,0,0,0,ATTENTIVE
63,3.89755,0,0,0,0,ATTENTIVE
64,3.87181,0,0,0,0,ATTENTIVE
65,0.672215,0,0,0,0,ATTENTIVE
66,0.204165,0,0,0,0,ATTENTIVE
67,0.199485,0,0,1,0,ATTENTIVE
68,0.648164,0,0,0,0,ATTENTIVE
69,0.658615,0,0,0,0,ATTENTIVE
70,0.65907,0,0,0,0,ATTENTIVE
71,0.649179,0,0,0,0,ATTENTIVE
72,0.65285,0,0,1,0,ATTENTIVE
73,0.593242,0,0,0,0,ATTENTIVE
74,0.752507,0,0,0,0,ATTENTIVE
75,3.76791,0,0,0,0,ATTENTIVE
76,3.64524,0,0,0,0,ATTENTIVE
77,3.62037,0,0,0,0,ATTENTIVE
78,3.58586,0,0,0,0,ATTENTIVE
79,3.45436,0,0,0,0,ATTENTIVE
80,3.5243,0,0,0,0,ATTENTIVE
81,0.694807,0,0,0,0,ATTENTIVE
82,3.10626,0,0,0,0,ATTENTIVE
83,3.51282,0,0,0,0,ATTENTIVE
84,3.57832,0,0,1,0,ATTENTIVE
85,3.55474,0,0,1,0,ATTENTIVE
86,3.52647,0,0,1,0,ATTENTIVE
87,3.47354,0,0,1,0,ATTENTIVE
88,3.50377,0,0,1,0,ATTENTIVE
89,0.63562,0,0,0,0,ATTENTIVE
90,3.20772,0,0,1,0,ATTENTIVE
91,0.705868,0,0,0,0,ATTENTIVE
92,1.02247,0,0,0,0,ATTENTIVE
93,1.04519,0,0,0,0,ATTENTIVE
94,1.04471,0,0,0,0,ATTENTIVE
95,1.03532,0,0,0,0,ATTENTIVE
96,0.482184,0,0,0,0,ATTENTIVE
97,0.614301,0,0,0,0,ATTENTIVE
98,0.633473,0,0,1,0,ATTENTIVE
99,0.593395,0,0,1,0,ATTENTIVE
100,0.217228,0,0,1,0,ATTENTIVE
101,0.229844,0,0,1,0,ATTENTIVE
102,0.229145,0,0,1,0,ATTENTIVE
103,0.322462,0,0,1,0,ATTENTIVE
104,0.998385,0,0,1,0,ATTENTIVE
105,0,0,0,0,0,ATTENTIVE
106,2.67776,0,0,1,0,ATTENTIVE
107,1.03039,0,0,1,0,ATTENTIVE
108,5.66047,0,0,1,0,ATTENTIVE
109,2.72998,0,0,1,0,ATTENTIVE
110,0.773756,0,0,1,0,ATTENTIVE
111,7.85119,0,0,1,0,ATTENTIVE
112,0.54677,0,0,1,0,ATTENTIVE
